Project,Job Name,Start Date,End Date,Estimated Cost
Downtown Office Building,Foundation Work,2024-01-15,2024-02-28,50000
Downtown Office Building,Site Preparation,2024-01-01,2024-01-14,15000
Residential Complex A,Framing,2024-03-01,2024-04-15,75000
Residential Complex A,Roofing,2024-04-10,2024-05-05,45000
Residential Complex A,Electrical Installation,2024-04-01,2024-05-15,30000
Residential Complex A,Plumbing,2024-04-15,2024-05-30,25000
Shopping Center Renovation,HVAC Installation,2024-05-01,2024-06-10,40000
Shopping Center Renovation,Insulation,2024-05-15,2024-06-05,18000
Shopping Center Renovation,Drywall,2024-05-01,2024-06-15,35000
Warehouse Expansion,Flooring,2024-06-10,2024-07-20,28000
Warehouse Expansion,Interior Painting,2024-07-01,2024-08-15,22000
Modern Family Home,Kitchen Installation,2024-07-15,2024-08-30,55000
Modern Family Home,Bathroom Installation,2024-08-01,2024-09-15,35000
Modern Family Home,Final Inspections,2024-09-10,2024-09-20,5000
City Park Pavilion,Landscaping,2024-09-15,2024-10-15,20000 